country_code,country_name,region,year,income_level,pop,urban_percent,national_alb,urban_alb
AFG,Afghanistan,South Asia,2015,Low income,34414,25,61,87
AFG,Afghanistan,South Asia,2020,Low income,38928,26,75,100
ALB,Albania,Europe & Central Asia,2015,Upper middle income,2891,57,93,95
ALB,Albania,Europe & Central Asia,2020,Upper middle income,2878,62,95,96
DZA,Algeria,Middle East & North Africa,2015,Upper middle income,39728,71,93,95
DZA,Algeria,Middle East & North Africa,2020,Lower middle income,43851,74,94,96
AND,Andorra,Europe & Central Asia,2015,High income,78,88,100,100
AND,Andorra,Europe & Central Asia,2020,High income,77,88,100,100
AGO,Angola,Sub-Saharan Africa,2015,Upper middle income,27884,63,54,70
AGO,Angola,Sub-Saharan Africa,2020,Lower middle income,32866,67,57,72
ARM,Armenia,Europe & Central Asia,2015,Lower middle income,2926,63,100,100
ARM,Armenia,Europe & Central Asia,2020,Upper middle income,2963,63,100,100
AUS,Australia,East Asia & Pacific,2015,High income,23932,86,100,100
AUS,Australia,East Asia & Pacific,2020,High income,25500,86,100,100
AUT,Austria,Europe & Central Asia,2015,High income,8679,58,100,100
AUT,Austria,Europe & Central Asia,2020,High income,9006,59,100,100
AZE,Azerbaijan,Europe & Central Asia,2015,Upper middle income,9623,55,92,100
AZE,Azerbaijan,Europe & Central Asia,2020,Upper middle income,10139,56,96,100
BGD,Bangladesh,South Asia,2015,Lower middle income,156256,34,97,98
BGD,Bangladesh,South Asia,2020,Lower middle income,164689,38,98,97
BLR,Belarus,Europe & Central Asia,2015,Upper middle income,9439,77,96,96
BLR,Belarus,Europe & Central Asia,2020,Upper middle income,9449,79,96,96
BEL,Belgium,Europe & Central Asia,2015,High income,11288,98,100,100
BEL,Belgium,Europe & Central Asia,2020,High income,11590,98,100,100
BLZ,Belize,Latin America & Caribbean,2015,Upper middle income,361,45,97,100
BLZ,Belize,Latin America & Caribbean,2020,Lower middle income,398,46,98,99
BEN,Benin,Sub-Saharan Africa,2015,Low income,10576,46,65,74
BEN,Benin,Sub-Saharan Africa,2020,Lower middle income,12123,48,65,73
BMU,Bermuda,North America,2015,High income,64,100,100,100
BMU,Bermuda,North America,2020,High income,62,100,100,100
BTN,Bhutan,South Asia,2015,Lower middle income,728,39,96,98
BTN,Bhutan,South Asia,2020,Lower middle income,772,42,97,98
BIH,Bosnia and Herzegovina,Europe & Central Asia,2015,Upper middle income,3429,47,96,95
BIH,Bosnia and Herzegovina,Europe & Central Asia,2020,Upper middle income,3281,49,96,95
BWA,Botswana,Sub-Saharan Africa,2015,Upper middle income,2121,67,88,97
BWA,Botswana,Sub-Saharan Africa,2020,Upper middle income,2352,71,92,98
BRA,Brazil,Latin America & Caribbean,2015,Upper middle income,204472,86,98,100
BRA,Brazil,Latin America & Caribbean,2020,Upper middle income,212559,87,100,100
BRN,Brunei Darussalam,East Asia & Pacific,2015,High income,415,77,100,100
BRN,Brunei Darussalam,East Asia & Pacific,2020,High income,437,78,100,100
BGR,Bulgaria,Europe & Central Asia,2015,Upper middle income,7200,74,100,100
BGR,Bulgaria,Europe & Central Asia,2020,Upper middle income,6948,76,100,100
BFA,Burkina Faso,Sub-Saharan Africa,2015,Low income,18111,28,50,80
BFA,Burkina Faso,Sub-Saharan Africa,2020,Low income,20903,31,47,80
BDI,Burundi,Sub-Saharan Africa,2015,Low income,10160,12,60,89
BDI,Burundi,Sub-Saharan Africa,2020,Low income,11891,14,62,91
CPV,Cabo Verde,Sub-Saharan Africa,2015,Lower middle income,525,64,85,92
CPV,Cabo Verde,Sub-Saharan Africa,2020,Lower middle income,556,67,89,93
KHM,Cambodia,East Asia & Pacific,2015,Lower middle income,15521,22,68,89
KHM,Cambodia,East Asia & Pacific,2020,Lower middle income,16719,24,71,90
CMR,Cameroon,Sub-Saharan Africa,2015,Lower middle income,23298,55,64,82
CMR,Cameroon,Sub-Saharan Africa,2020,Lower middle income,26546,58,66,82
CAN,Canada,North America,2015,High income,36027,81,100,100
CAN,Canada,North America,2020,High income,37742,82,100,100
CAF,Central African Republic,Sub-Saharan Africa,2015,Low income,4493,40,42,58
CAF,Central African Republic,Sub-Saharan Africa,2020,Low income,4830,42,37,50
TCD,Chad,Sub-Saharan Africa,2015,Low income,14111,23,44,75
TCD,Chad,Sub-Saharan Africa,2020,Low income,16426,24,46,74
CHL,Chile,Latin America & Caribbean,2015,High income,17969,87,100,100
CHL,Chile,Latin America & Caribbean,2020,High income,19116,88,100,100
CHN,China,East Asia & Pacific,2015,Upper middle income,1430405,56,92,98
CHN,China,East Asia & Pacific,2020,Upper middle income,1463141,62,94,97
COL,Colombia,Latin America & Caribbean,2015,Upper middle income,47521,80,96,100
COL,Colombia,Latin America & Caribbean,2020,Upper middle income,50883,81,97,100
CRI,Costa Rica,Latin America & Caribbean,2015,Upper middle income,4848,77,100,100
CRI,Costa Rica,Latin America & Caribbean,2020,Upper middle income,5094,81,100,100
CIV,Côte d'Ivoire,Sub-Saharan Africa,2015,Lower middle income,23226,49,71,87
CIV,Côte d'Ivoire,Sub-Saharan Africa,2020,Lower middle income,26378,52,71,85
CUB,Cuba,Latin America & Caribbean,2015,Upper middle income,11325,77,96,98
CUB,Cuba,Latin America & Caribbean,2020,Upper middle income,11327,77,97,98
CYP,Cyprus,Europe & Central Asia,2015,High income,1161,67,100,100
CYP,Cyprus,Europe & Central Asia,2020,High income,1207,67,100,100
CZE,Czech Republic,Europe & Central Asia,2015,High income,10601,73,100,100
CZE,Czech Republic,Europe & Central Asia,2020,High income,10709,74,100,100
DNK,Denmark,Europe & Central Asia,2015,High income,5689,88,100,100
DNK,Denmark,Europe & Central Asia,2020,High income,5792,88,100,100
DJI,Djibouti,Middle East & North Africa,2015,Lower middle income,914,77,76,84
DJI,Djibouti,Middle East & North Africa,2020,Lower middle income,988,78,76,84
DOM,Dominican Republic,Latin America & Caribbean,2015,Upper middle income,10282,79,96,98
DOM,Dominican Republic,Latin America & Caribbean,2020,Upper middle income,10848,83,97,98
ECU,Ecuador,Latin America & Caribbean,2015,Upper middle income,16212,63,93,100
ECU,Ecuador,Latin America & Caribbean,2020,Upper middle income,17643,64,95,100
SLV,El Salvador,Latin America & Caribbean,2015,Lower middle income,6325,70,96,99
SLV,El Salvador,Latin America & Caribbean,2020,Lower middle income,6486,73,98,100
EST,Estonia,Europe & Central Asia,2015,High income,1315,68,100,100
EST,Estonia,Europe & Central Asia,2020,High income,1327,69,100,100
SWZ,Eswatini,Sub-Saharan Africa,2015,Lower middle income,1104,23,67,95
SWZ,Eswatini,Sub-Saharan Africa,2020,Lower middle income,1160,24,71,97
ETH,Ethiopia,Sub-Saharan Africa,2015,Low income,100835,19,42,82
ETH,Ethiopia,Sub-Saharan Africa,2020,Low income,114964,22,50,84
FJI,Fiji,East Asia & Pacific,2015,Upper middle income,869,55,94,98
FJI,Fiji,East Asia & Pacific,2020,Upper middle income,896,57,94,98
FIN,Finland,Europe & Central Asia,2015,High income,5481,85,100,100
FIN,Finland,Europe & Central Asia,2020,High income,5541,86,100,100
FRA,France,Europe & Central Asia,2015,High income,64453,80,100,100
FRA,France,Europe & Central Asia,2020,High income,65274,81,100,100
GAB,Gabon,Sub-Saharan Africa,2015,Upper middle income,1948,88,84,89
GAB,Gabon,Sub-Saharan Africa,2020,Upper middle income,2226,90,85,90
GEO,Georgia,Europe & Central Asia,2015,Upper middle income,4024,57,96,100
GEO,Georgia,Europe & Central Asia,2020,Upper middle income,3989,59,97,100
DEU,Germany,Europe & Central Asia,2015,High income,81787,77,100,100
DEU,Germany,Europe & Central Asia,2020,High income,83784,77,100,100
GHA,Ghana,Sub-Saharan Africa,2015,Lower middle income,27849,54,80,91
GHA,Ghana,Sub-Saharan Africa,2020,Lower middle income,31073,57,86,96
GIB,Gibraltar,Europe & Central Asia,2015,High income,34,100,100,100
GIB,Gibraltar,Europe & Central Asia,2020,High income,34,100,100,100
GRC,Greece,Europe & Central Asia,2015,High income,10660,78,100,100
GRC,Greece,Europe & Central Asia,2020,High income,10423,80,100,100
GRL,Greenland,Europe & Central Asia,2015,High income,56,86,100,100
GRL,Greenland,Europe & Central Asia,2020,High income,57,87,100,100
GTM,Guatemala,Latin America & Caribbean,2015,Lower middle income,16252,50,92,97
GTM,Guatemala,Latin America & Caribbean,2020,Upper middle income,17916,52,94,98
GIN,Guinea,Sub-Saharan Africa,2015,Low income,11432,35,64,85
GIN,Guinea,Sub-Saharan Africa,2020,Low income,13133,37,64,87
GNB,Guinea-Bissau,Sub-Saharan Africa,2015,Low income,1737,42,59,73
GNB,Guinea-Bissau,Sub-Saharan Africa,2020,Low income,1968,44,59,71
GUY,Guyana,Latin America & Caribbean,2015,Upper middle income,767,26,95,100
GUY,Guyana,Latin America & Caribbean,2020,Upper middle income,787,27,96,100
HTI,Haiti,Latin America & Caribbean,2015,Low income,10696,52,65,85
HTI,Haiti,Latin America & Caribbean,2020,Lower middle income,11403,57,67,85
HND,Honduras,Latin America & Caribbean,2015,Lower middle income,9113,55,93,99
HND,Honduras,Latin America & Caribbean,2020,Lower middle income,9905,58,96,100
HUN,Hungary,Europe & Central Asia,2015,High income,9778,71,100,100
HUN,Hungary,Europe & Central Asia,2020,High income,9660,72,100,100
ISL,Iceland,Europe & Central Asia,2015,High income,330,94,100,100
ISL,Iceland,Europe & Central Asia,2020,High income,341,94,100,100
IND,India,South Asia,2015,Lower middle income,1310152,33,88,93
IND,India,South Asia,2020,Lower middle income,1380004,35,90,94
IDN,Indonesia,East Asia & Pacific,2015,Lower middle income,258383,53,89,95
IDN,Indonesia,East Asia & Pacific,2020,Lower middle income,273524,57,92,98
IRQ,Iraq,Middle East & North Africa,2015,Upper middle income,35572,70,94,98
IRQ,Iraq,Middle East & North Africa,2020,Upper middle income,40223,71,98,100
IRL,Ireland,Europe & Central Asia,2015,High income,4652,63,97,97
IRL,Ireland,Europe & Central Asia,2020,High income,4938,64,97,97
ISR,Israel,Middle East & North Africa,2015,High income,7978,92,100,100
ISR,Israel,Middle East & North Africa,2020,High income,8656,93,100,100
JAM,Jamaica,Latin America & Caribbean,2015,Upper middle income,2891,55,90,95
JAM,Jamaica,Latin America & Caribbean,2020,Upper middle income,2961,56,91,95
JOR,Jordan,Middle East & North Africa,2015,Upper middle income,9267,90,100,100
JOR,Jordan,Middle East & North Africa,2020,Upper middle income,10203,91,99,100
KAZ,Kazakhstan,Europe & Central Asia,2015,Upper middle income,17572,57,95,98
KAZ,Kazakhstan,Europe & Central Asia,2020,Upper middle income,18777,58,95,98
KEN,Kenya,Sub-Saharan Africa,2015,Lower middle income,47878,26,58,87
KEN,Kenya,Sub-Saharan Africa,2020,Lower middle income,53771,28,62,87
KIR,Kiribati,East Asia & Pacific,2015,Lower middle income,111,52,74,89
KIR,Kiribati,East Asia & Pacific,2020,Lower middle income,119,56,78,92
LVA,Latvia,Europe & Central Asia,2015,High income,1998,68,99,99
LVA,Latvia,Europe & Central Asia,2020,High income,1886,68,99,99
LSO,Lesotho,Sub-Saharan Africa,2015,Lower middle income,2059,27,71,90
LSO,Lesotho,Sub-Saharan Africa,2020,Lower middle income,2142,29,72,93
LBR,Liberia,Sub-Saharan Africa,2015,Low income,4472,50,73,84
LBR,Liberia,Sub-Saharan Africa,2020,Low income,5058,52,75,86
LTU,Lithuania,Europe & Central Asia,2015,High income,2932,67,97,100
LTU,Lithuania,Europe & Central Asia,2020,High income,2722,68,98,100
LUX,Luxembourg,Europe & Central Asia,2015,High income,567,90,100,100
LUX,Luxembourg,Europe & Central Asia,2020,High income,626,91,100,100
MDG,Madagascar,Sub-Saharan Africa,2015,Low income,24234,35,49,78
MDG,Madagascar,Sub-Saharan Africa,2020,Low income,27691,39,53,80
MWI,Malawi,Sub-Saharan Africa,2015,Low income,16745,16,66,86
MWI,Malawi,Sub-Saharan Africa,2020,Low income,19130,17,70,86
MYS,Malaysia,East Asia & Pacific,2015,Upper middle income,30271,74,97,100
